<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YNDX,1,20190114,104000,1987.5,1987.5,1984.5,1986,81
YNDX,1,20190114,104100,1986,1986,1985,1985,53
YNDX,1,20190114,104200,1986.5,1988.5,1986.5,1988.5,271
YNDX,1,20190114,104300,1988,1989,1988,1989,48
YNDX,1,20190114,104400,1989,1989.5,1988,1988,853
YNDX,1,20190114,104500,1989,1989,1988,1988,436
YNDX,1,20190114,104600,1988,1988,1986,1986,60
YNDX,1,20190114,104700,1985.5,1987.5,1985.5,1987.5,21
YNDX,1,20190114,104800,1987.5,1988,1986,1986,42
YNDX,1,20190114,104900,1986,1986,1986,1986,11
YNDX,1,20190114,105000,1987.5,1987.5,1985.5,1987,78
YNDX,1,20190114,105200,1986,1986,1986,1986,30
YNDX,1,20190114,105300,1986,1987.5,1986,1987.5,12
YNDX,1,20190114,105400,1988,1988,1988,1988,12
YNDX,1,20190114,105500,1988,1988,1987.5,1988,4
YNDX,1,20190114,105600,1988,1988,1987.5,1987.5,23
YNDX,1,20190114,105700,1988,1988,1988,1988,48
YNDX,1,20190114,105800,1988,1988,1986.5,1986.5,30
YNDX,1,20190114,105900,1986.5,1987.5,1986,1987.5,35
YNDX,1,20190114,110000,1987.5,1987.5,1986,1986,75
YNDX,1,20190114,110100,1987,1987.5,1985.5,1985.5,90
YNDX,1,20190114,110200,1985.5,1986,1984.5,1985,170
YNDX,1,20190114,110300,1986.5,1986.5,1985,1985,23
YNDX,1,20190114,110400,1986,1986,1986,1986,1
YNDX,1,20190114,110500,1986,1986,1984.5,1984.5,22
YNDX,1,20190114,110600,1986,1986,1984.5,1986,110
YNDX,1,20190114,110700,1986.5,1986.5,1985,1985,55
YNDX,1,20190114,110800,1986.5,1987,1986.5,1987,10
YNDX,1,20190114,110900,1986.5,1986.5,1986.5,1986.5,1
YNDX,1,20190114,111000,1986,1987,1985,1986.5,101
YNDX,1,20190114,111200,1986.5,1986.5,1985,1985,117
YNDX,1,20190114,111300,1986.5,1987,1986.5,1987,2
YNDX,1,20190114,111400,1986.5,1986.5,1984,1984,278
YNDX,1,20190114,111500,1984,1986.5,1984,1985.5,41
YNDX,1,20190114,111600,1984.5,1986,1984,1986,542
YNDX,1,20190114,111700,1986,1986,1986,1986,18
YNDX,1,20190114,111800,1985.5,1985.5,1985.5,1985.5,2
YNDX,1,20190114,111900,1985.5,1985.5,1984,1984,95
YNDX,1,20190114,112000,1984.5,1984.5,1984.5,1984.5,1
YNDX,1,20190114,112300,1984.5,1985,1984.5,1985,13
YNDX,1,20190114,112400,1985,1985,1984,1984,14
YNDX,1,20190114,112500,1984.5,1985,1984.5,1984.5,76
YNDX,1,20190114,112600,1984.5,1984.5,1984.5,1984.5,1
YNDX,1,20190114,112700,1985,1985,1984.5,1984.5,143
YNDX,1,20190114,112800,1984.5,1985,1984.5,1985,6
YNDX,1,20190114,112900,1985,1985,1984.5,1984.5,7
YNDX,1,20190114,113000,1984.5,1985,1984,1985,72
YNDX,1,20190114,113200,1985,1985,1984.5,1984.5,5
YNDX,1,20190114,113500,1984.5,1984.5,1984,1984,277
YNDX,1,20190114,113600,1985,1985,1984,1985,25
YNDX,1,20190114,113700,1985,1985,1985,1985,2
YNDX,1,20190114,113900,1985,1985,1984,1984,8
YNDX,1,20190114,114000,1985,1985.5,1984,1985.5,81
YNDX,1,20190114,114100,1985.5,1986,1985.5,1986,10
YNDX,1,20190114,114200,1985.5,1986,1985.5,1986,12
YNDX,1,20190114,114300,1986,1986,1986,1986,29
YNDX,1,20190114,114400,1985.5,1985.5,1985,1985,7
YNDX,1,20190114,114500,1984.5,1986,1984.5,1985,61
YNDX,1,20190114,114600,1986,1986,1986,1986,1
YNDX,1,20190114,114700,1985,1985,1985,1985,1
YNDX,1,20190114,114800,1986,1986,1985,1985,4
YNDX,1,20190114,114900,1985,1986,1985,1986,21
YNDX,1,20190114,115000,1985,1985,1984,1984,180
YNDX,1,20190114,115100,1984,1984.5,1984,1984.5,156
YNDX,1,20190114,115200,1984,1985.5,1984,1984,6
YNDX,1,20190114,115300,1985.5,1985.5,1985.5,1985.5,23
YNDX,1,20190114,115400,1985.5,1985.5,1985.5,1985.5,10
YNDX,1,20190114,115500,1985,1985,1985,1985,5
YNDX,1,20190114,115600,1984,1984,1983.5,1983.5,35
YNDX,1,20190114,115700,1983,1983,1983,1983,99
YNDX,1,20190114,115800,1984.5,1984.5,1983,1983,6
YNDX,1,20190114,120000,1984.5,1984.5,1984.5,1984.5,5
YNDX,1,20190114,120100,1983,1983,1983,1983,3
YNDX,1,20190114,120200,1983,1983,1982,1982,111
YNDX,1,20190114,120300,1982.5,1982.5,1982,1982,193
YNDX,1,20190114,120500,1982,1984,1982,1984,4
YNDX,1,20190114,120600,1984,1984,1984,1984,6
YNDX,1,20190114,120900,1982.5,1982.5,1982,1982,19
YNDX,1,20190114,121000,1983.5,1983.5,1982,1982,501
YNDX,1,20190114,121100,1981,1982,1981,1982,27
YNDX,1,20190114,121200,1981,1982,1981,1982,21
YNDX,1,20190114,121300,1982,1982,1981,1981,191
YNDX,1,20190114,121400,1981,1981,1981,1981,16
YNDX,1,20190114,121500,1982,1982,1982,1982,80
YNDX,1,20190114,121700,1981,1981,1981,1981,2
YNDX,1,20190114,121800,1981.5,1981.5,1981.5,1981.5,1
YNDX,1,20190114,121900,1981,1982,1981,1982,18
YNDX,1,20190114,122000,1981,1981,1980.5,1980.5,64
YNDX,1,20190114,122100,1982,1982,1980,1980,115
YNDX,1,20190114,122200,1981.5,1981.5,1980,1980,15
