<open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1716336000000,0.03290911,0.03298949,0.03290911,0.03291831,0,1716336059999,0,60,0,0,0
1716336060000,0.03291746,0.03293296,0.03289179,0.03293296,0,1716336119999,0,60,0,0,0
1716336120000,0.03294282,0.03305551,0.03292126,0.03304602,0,1716336179999,0,60,0,0,0
1716336180000,0.03304688,0.03307972,0.03285214,0.03285214,0,1716336239999,0,60,0,0,0
1716336240000,0.03284756,0.03288640,0.03279813,0.03287461,0,1716336299999,0,60,0,0,0
1716336300000,0.03287461,0.03287538,0.03283548,0.03285056,0,1716336359999,0,60,0,0,0
1716336360000,0.03284971,0.03285823,0.03279336,0.03279993,0,1716336419999,0,60,0,0,0
1716336420000,0.03279907,0.03287605,0.03276670,0.03276670,0,1716336479999,0,60,0,0,0
1716336480000,0.03276670,0.03276670,0.03269334,0.03269685,0,1716336539999,0,60,0,0,0
1716336540000,0.03269771,0.03269777,0.03259666,0.03259666,0,1716336599999,0,60,0,0,0
1716336600000,0.03259098,0.03261599,0.03258239,0.03258564,0,1716336659999,0,60,0,0,0
1716336660000,0.03258564,0.03259896,0.03257472,0.03257472,0,1716336719999,0,60,0,0,0
1716336720000,0.03257215,0.03260267,0.03256454,0.03256780,0,1716336779999,0,60,0,0,0
1716336780000,0.03256523,0.03259551,0.03255485,0.03259466,0,1716336839999,0,60,0,0,0
1716336840000,0.03260123,0.03267048,0.03258614,0.03266563,0,1716336899999,0,60,0,0,0
1716336900000,0.03266807,0.03269911,0.03261013,0.03266222,0,1716336959999,0,60,0,0,0
1716336960000,0.03265651,0.03272970,0.03261594,0.03272970,0,1716337019999,0,60,0,0,0
1716337020000,0.03273214,0.03280005,0.03271355,0.03280005,0,1716337079999,0,60,0,0,0
1716337080000,0.03280405,0.03290662,0.03277093,0.03290192,0,1716337139999,0,60,0,0,0
1716337140000,0.03288392,0.03305508,0.03286632,0.03302931,0,1716337199999,0,60,0,0,0
1716337200000,0.03303439,0.03312228,0.03303439,0.03311541,0,1716337259999,0,60,0,0,0
1716337260000,0.03311627,0.03318884,0.03309655,0.03318645,0,1716337319999,0,60,0,0,0
1716337320000,0.03318645,0.03320426,0.03314501,0.03314501,0,1716337379999,0,60,0,0,0
1716337380000,0.03314444,0.03315324,0.03296599,0.03296989,0,1716337439999,0,60,0,0,0
1716337440000,0.03296737,0.03296737,0.03290038,0.03294816,0,1716337499999,0,60,0,0,0
1716337500000,0.03294185,0.03313110,0.03290328,0.03313110,0,1716337559999,0,60,0,0,0
1716337560000,0.03312779,0.03329541,0.03312779,0.03317250,0,1716337619999,0,60,0,0,0
1716337620000,0.03317821,0.03323869,0.03317801,0.03322375,0,1716337679999,0,60,0,0,0
1716337680000,0.03322861,0.03324711,0.03321280,0.03322889,0,1716337739999,0,60,0,0,0
1716337740000,0.03323460,0.03346800,0.03323375,0.03344917,0,1716337799999,0,60,0,0,0
1716337800000,0.03345574,0.03351260,0.03343164,0.03349077,0,1716337859999,0,60,0,0,0
1716337860000,0.03349648,0.03352055,0.03346488,0.03347965,0,1716337919999,0,60,0,0,0
1716337920000,0.03345508,0.03351144,0.03344852,0.03349829,0,1716337979999,0,60,0,0,0
1716337980000,0.03349829,0.03350022,0.03333599,0.03338288,0,1716338039999,0,60,0,0,0
1716338040000,0.03337657,0.03349346,0.03337409,0.03348977,0,1716338099999,0,60,0,0,0
1716338100000,0.03349549,0.03349695,0.03343100,0.03349695,0,1716338159999,0,60,0,0,0
1716338160000,0.03349459,0.03352280,0.03347668,0.03351071,0,1716338219999,0,60,0,0,0
1716338220000,0.03351130,0.03353327,0.03344752,0.03346302,0,1716338279999,0,60,0,0,0
1716338280000,0.03346065,0.03354361,0.03345639,0.03349044,0,1716338339999,0,60,0,0,0
1716338340000,0.03349044,0.03353593,0.03345542,0.03353593,0,1716338399999,0,60,0,0,0
1716338400000,0.03353593,0.03353593,0.03337784,0.03337784,0,1716338459999,0,60,0,0,0
1716338460000,0.03336962,0.03338071,0.03331058,0.03331058,0,1716338519999,0,60,0,0,0
1716338520000,0.03331589,0.03332764,0.03324579,0.03328646,0,1716338579999,0,60,0,0,0
1716338580000,0.03328646,0.03330771,0.03327386,0.03328043,0,1716338639999,0,60,0,0,0
1716338640000,0.03327273,0.03327845,0.03312286,0.03316922,0,1716338699999,0,60,0,0,0
1716338700000,0.03315471,0.03317260,0.03308508,0.03309374,0,1716338759999,0,60,0,0,0
1716338760000,0.03309374,0.03314410,0.03307840,0.03313332,0,1716338819999,0,60,0,0,0
1716338820000,0.03311926,0.03311926,0.03307568,0.03307568,0,1716338879999,0,60,0,0,0
1716338880000,0.03307616,0.03317143,0.03307616,0.03315670,0,1716338939999,0,60,0,0,0
1716338940000,0.03314595,0.03314927,0.03308804,0.03308907,0,1716338999999,0,60,0,0,0
1716339000000,0.03308422,0.03309954,0.03304488,0.03307226,0,1716339059999,0,60,0,0,0
1716339060000,0.03306625,0.03308953,0.03304257,0.03308724,0,1716339119999,0,60,0,0,0
1716339120000,0.03307762,0.03311155,0.03305659,0.03309829,0,1716339179999,0,60,0,0,0
1716339180000,0.03310003,0.03315983,0.03309875,0.03315278,0,1716339239999,0,60,0,0,0
1716339240000,0.03315850,0.03316458,0.03311060,0.03313917,0,1716339299999,0,60,0,0,0
1716339300000,0.03313917,0.03326060,0.03313917,0.03326060,0,1716339359999,0,60,0,0,0
1716339360000,0.03327535,0.03334193,0.03327535,0.03330376,0,1716339419999,0,60,0,0,0
1716339420000,0.03330376,0.03332339,0.03323148,0.03324673,0,1716339479999,0,60,0,0,0
1716339480000,0.03324587,0.03324587,0.03311260,0.03313848,0,1716339539999,0,60,0,0,0
1716339540000,0.03313362,0.03317314,0.03311194,0.03311564,0,1716339599999,0,60,0,0,0
1716339600000,0.03311478,0.03316350,0.03300674,0.03301471,0,1716339659999,0,60,0,0,0
1716339660000,0.03301471,0.03311298,0.03300388,0.03307566,0,1716339719999,0,60,0,0,0
1716339720000,0.03307394,0.03320724,0.03306720,0.03320724,0,1716339779999,0,60,0,0,0
1716339780000,0.03320724,0.03335604,0.03320724,0.03334414,0,1716339839999,0,60,0,0,0
1716339840000,0.03334833,0.03334833,0.03318896,0.03321190,0,1716339899999,0,60,0,0,0
1716339900000,0.03321190,0.03334483,0.03321190,0.03333402,0,1716339959999,0,60,0,0,0
1716339960000,0.03333634,0.03339759,0.03332455,0.03338117,0,1716340019999,0,60,0,0,0
1716340020000,0.03336888,0.03337460,0.03333897,0.03336448,0,1716340079999,0,60,0,0,0
